"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"03.01.2021 00:45 - 03.01.2021 01:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 01:00 - 03.01.2021 01:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 01:15 - 03.01.2021 01:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 01:30 - 03.01.2021 01:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 01:45 - 03.01.2021 02:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 02:00 - 03.01.2021 02:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 02:15 - 03.01.2021 02:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 02:30 - 03.01.2021 02:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 02:45 - 03.01.2021 03:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 03:00 - 03.01.2021 03:15,""0"",""0"",""672"",""672"""
"03.01.2021 03:15 - 03.01.2021 03:30,""0"",""0"",""672"",""672"""
"03.01.2021 03:30 - 03.01.2021 03:45,""0"",""0"",""672"",""672"""
"03.01.2021 03:45 - 03.01.2021 04:00,""0"",""0"",""672"",""672"""
"03.01.2021 04:00 - 03.01.2021 04:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 04:15 - 03.01.2021 04:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 04:30 - 03.01.2021 04:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 04:45 - 03.01.2021 05:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 05:00 - 03.01.2021 05:15,""0"",""24"",""1000"",""1000"""
"03.01.2021 05:15 - 03.01.2021 05:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 05:30 - 03.01.2021 05:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 05:45 - 03.01.2021 06:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 06:00 - 03.01.2021 06:15,""0"",""30"",""1000"",""1000"""
"03.01.2021 06:15 - 03.01.2021 06:30,""0"",""7"",""1000"",""1000"""
"03.01.2021 06:30 - 03.01.2021 06:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 06:45 - 03.01.2021 07:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 07:00 - 03.01.2021 07:15,""0"",""50"",""1000"",""1000"""
"03.01.2021 07:15 - 03.01.2021 07:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 07:30 - 03.01.2021 07:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 07:45 - 03.01.2021 08:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 08:00 - 03.01.2021 08:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 08:15 - 03.01.2021 08:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 08:30 - 03.01.2021 08:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 08:45 - 03.01.2021 09:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 09:00 - 03.01.2021 09:15,""0"",""0"",""852"",""852"""
"03.01.2021 09:15 - 03.01.2021 09:30,""0"",""0"",""852"",""852"""
"03.01.2021 09:30 - 03.01.2021 09:45,""0"",""0"",""852"",""852"""
"03.01.2021 09:45 - 03.01.2021 10:00,""0"",""8"",""852"",""852"""
"03.01.2021 10:00 - 03.01.2021 10:15,""0"",""0"",""850"",""850"""
"03.01.2021 10:15 - 03.01.2021 10:30,""0"",""0"",""850"",""850"""
"03.01.2021 10:30 - 03.01.2021 10:45,""0"",""0"",""850"",""850"""
"03.01.2021 10:45 - 03.01.2021 11:00,""0"",""0"",""850"",""850"""
"03.01.2021 11:00 - 03.01.2021 11:15,""0"",""0"",""954"",""954"""
"03.01.2021 11:15 - 03.01.2021 11:30,""0"",""0"",""954"",""954"""
"03.01.2021 11:30 - 03.01.2021 11:45,""0"",""0"",""954"",""954"""
